sample_start,sample_end,variable,label,transformation,test,deterministic,nlags_requested,lags_used,statistic,p_value,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct,warning,nobs
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,24,24,0.20251554182064344,0.015056671817258711,0.216,0.146,0.119,True,,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,auto,1,0.40011389802363057,0.07710607843809028,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,legacy,14,0.3699131490005413,0.09012364267218048,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,1,1,0.40011389802363057,0.07710607843809028,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,2,2,0.38666942097966184,0.08290111164669749,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,3,3,0.38112504232189365,0.08529093003366653,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,4,4,0.3690691004629097,0.09048745669702168,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,6,6,0.35227477203017576,0.09772639136630354,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,8,8,0.3689381834404991,0.09054388644806073,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,9,9,0.3614284317587334,0.09378084837985629,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,12,12,0.3651561053209483,0.09217409253407402,0.739,0.463,0.347,False,,184
